person_id,person_youth_group_record_id,youth_join_year,youth_group_id,archived,yg_approval_status,yg_approved_by,yg_approval_date,yg_approval_notes,scd_active_from,scd_active_to,scd_currently_active_flag,scd_changed_by_user
2,PRYG000001,2019,YG015,False,,,,,2025-01-31 11:12:25,,True,admin
3,PRYG000002,2024,YG023,False,,,,,2025-01-31 11:12:36,,True,admin
4,PRYG000003,2017,YG022,False,,,,,2025-01-31 11:12:38,,True,admin
5,PRYG000004,2005,YG007,False,,,,,2025-01-31 11:12:38,,True,admin
6,PRYG000005,2014,YG027,False,,,,,2025-01-31 11:12:42,,True,admin
7,PRYG000006,2013,YG023,False,,,,,2025-01-31 11:12:46,,True,admin
8,PRYG000007,2014,YG005,False,,,,,2025-01-31 11:12:47,,True,admin
9,PRYG000008,2011,YG012,False,,,,,2025-01-31 11:12:50,,True,admin
10,PRYG000009,2019,YG016,False,,,,,2025-01-31 11:12:50,,True,admin
11,PRYG000010,2014,YG029,False,,,,,2025-01-31 11:12:54,,True,admin
12,PRYG000011,2023,YG019,False,,,,,2025-01-31 11:12:54,,True,admin
13,PRYG000012,2022,YG023,False,,,,,2025-01-31 11:13:00,,True,admin
14,PRYG000013,2008,YG012,False,,,,,2025-01-31 11:13:00,,True,admin
16,PRYG000014,2015,YG021,False,,,,,2025-01-31 11:13:02,,True,admin
17,PRYG000015,2024,YG016,False,,,,,2025-01-31 11:13:03,,True,admin
18,PRYG000016,2014,YG027,False,,,,,2025-01-31 11:13:03,,True,admin
20,PRYG000017,2012,YG012,False,,,,,2025-01-31 11:13:06,,True,admin
21,PRYG000018,2009,YG003,False,,,,,2025-01-31 11:13:09,,True,admin
22,PRYG000019,2010,YG012,False,,,,,2025-01-31 11:13:09,,True,admin
23,PRYG000020,2005,YG003,False,,,,,2025-01-31 11:13:09,,True,admin
24,PRYG000021,2021,YG004,False,,,,,2025-01-31 11:13:12,,True,admin
25,PRYG000022,2014,YG005,False,,,,,2025-01-31 11:13:12,,True,admin
26,PRYG000023,2010,YG012,False,,,,,2025-01-31 11:13:13,,True,admin
27,PRYG000024,2010,YG016,False,,,,,2025-01-31 11:13:13,,True,admin
28,PRYG000025,2024,YG003,False,,,,,2025-01-31 11:13:13,,True,admin
29,PRYG000026,2006,YG010,False,,,,,2025-01-31 11:13:15,,True,admin
30,PRYG000027,2013,YG015,False,,,,,2025-01-31 11:13:18,,True,admin
31,PRYG000028,2022,YG016,False,,,,,2025-01-31 11:13:18,,True,admin
32,PRYG000029,2010,YG003,False,,,,,2025-01-31 11:13:19,,True,admin
33,PRYG000030,2004,YG019,False,,,,,2025-01-31 11:13:20,,True,admin
34,PRYG000031,2024,YG005,False,,,,,2025-01-31 11:13:20,,True,admin
35,PRYG000032,2019,YG003,False,,,,,2025-01-31 11:13:21,,True,admin
36,PRYG000033,2015,YG005,False,,,,,2025-01-31 11:13:22,,True,admin
38,PRYG000034,2013,YG003,False,,,,,2025-01-31 11:13:24,,True,admin
39,PRYG000035,2007,YG005,False,,,,,2025-01-31 11:13:25,,True,admin
40,PRYG000036,2021,YG007,False,,,,,2025-01-31 11:13:25,,True,admin
41,PRYG000037,2023,YG006,False,,,,,2025-01-31 11:13:26,,True,admin
42,PRYG000038,2022,YG002,False,,,,,2025-01-31 11:13:27,,True,admin
44,PRYG000039,2011,YG016,False,,,,,2025-01-31 11:13:29,,True,admin
45,PRYG000040,2019,YG009,False,,,,,2025-01-31 11:13:29,,True,admin
46,PRYG000041,2014,YG026,False,,,,,2025-01-31 11:13:32,,True,admin
47,PRYG000042,2022,YG002,False,,,,,2025-01-31 11:13:32,,True,admin
48,PRYG000043,2014,YG029,False,,,,,2025-01-31 11:13:33,,True,admin
49,PRYG000044,2008,YG016,False,,,,,2025-01-31 11:13:35,,True,admin
50,PRYG000045,2023,YG006,False,,,,,2025-01-31 11:13:36,,True,admin
51,PRYG000046,2017,YG010,False,,,,,2025-01-31 11:13:36,,True,admin
52,PRYG000047,2015,YG009,False,,,,,2025-01-31 11:13:40,,True,admin
53,PRYG000048,2018,YG003,False,,,,,2025-01-31 11:13:41,,True,admin
54,PRYG000049,2010,YG007,False,,,,,2025-01-31 11:13:42,,True,admin
55,PRYG000050,2015,YG009,False,,,,,2025-01-31 11:13:42,,True,admin
56,PRYG000051,2006,YG028,False,,,,,2025-01-31 11:13:44,,True,admin
57,PRYG000052,2018,YG010,False,,,,,2025-01-31 11:13:45,,True,admin
58,PRYG000053,2023,YG027,False,,,,,2025-01-31 11:13:45,,True,admin
60,PRYG000055,2011,YG015,False,,,,,2025-01-31 11:13:46,,True,admin
61,PRYG000056,2019,YG027,False,,,,,2025-01-31 11:13:46,,True,admin
62,PRYG000057,2019,YG016,False,,,,,2025-01-31 11:13:48,,True,admin
63,PRYG000058,2010,YG016,False,,,,,2025-01-31 11:13:49,,True,admin
64,PRYG000059,2011,YG020,False,,,,,2025-01-31 11:13:49,,True,admin
65,PRYG000060,2023,YG009,False,,,,,2025-01-31 11:13:49,,True,admin
67,PRYG000061,2007,YG013,False,,,,,2025-01-31 11:13:51,,True,admin
68,PRYG000062,2006,YG010,False,,,,,2025-01-31 11:13:52,,True,admin
69,PRYG000063,2011,YG022,False,,,,,2025-01-31 11:13:53,,True,admin
70,PRYG000064,2018,YG022,False,,,,,2025-01-31 11:13:55,,True,admin
72,PRYG000065,2009,YG016,False,,,,,2025-01-31 11:14:00,,True,admin
73,PRYG000066,2021,YG016,False,,,,,2025-01-31 11:14:01,,True,admin
74,PRYG000067,2020,YG016,False,,,,,2025-01-31 11:14:02,,True,admin
75,PRYG000068,2024,YG019,False,,,,,2025-01-31 11:14:03,,True,admin
78,PRYG000069,2018,YG026,False,,,,,2025-01-31 11:14:11,,True,admin
79,PRYG000070,2012,YG010,False,,,,,2025-01-31 11:14:11,,True,admin
80,PRYG000071,2020,YG003,False,,,,,2025-01-31 11:14:12,,True,admin
82,PRYG000072,2017,YG023,False,,,,,2025-01-31 11:14:14,,True,admin
83,PRYG000073,2012,YG016,False,,,,,2025-01-31 11:14:15,,True,admin
84,PRYG000074,2024,YG011,False,,,,,2025-01-31 11:14:16,,True,admin
85,PRYG000075,2013,YG003,False,,,,,2025-01-31 11:14:17,,True,admin
86,PRYG000076,2011,YG015,False,,,,,2025-01-31 11:14:17,,True,admin
87,PRYG000077,2010,YG024,False,,,,,2025-01-31 11:14:19,,True,admin
