period_id,from_node_id,to_node_id,edge_type,scd_active_from,scd_active_to,scd_currently_active_flag,scd_changed_by_user
OTPD000013,OTND00000221,OTND00000231,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000013,OTND00000221,OTND00000232,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000013,OTND00000221,OTND00000233,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000013,OTND00000222,OTND00000234,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000013,OTND00000222,OTND00000235,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000013,OTND00000222,OTND00000236,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000013,OTND00000222,OTND00000237,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000013,OTND00000223,OTND00000238,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000013,OTND00000223,OTND00000239,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000013,OTND00000223,OTND00000240,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000013,OTND00000223,OTND00000241,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000013,OTND00000224,OTND00000242,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000013,OTND00000224,OTND00000243,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000013,OTND00000224,OTND00000244,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000013,OTND00000224,OTND00000245,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000013,OTND00000225,OTND00000242,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000013,OTND00000225,OTND00000243,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000013,OTND00000225,OTND00000244,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000013,OTND00000225,OTND00000245,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000013,OTND00000226,OTND00000246,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000013,OTND00000226,OTND00000247,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000013,OTND00000226,OTND00000248,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000013,OTND00000226,OTND00000249,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000014,OTND00000253,OTND00000263,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000014,OTND00000253,OTND00000264,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000014,OTND00000253,OTND00000265,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000014,OTND00000254,OTND00000266,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000014,OTND00000254,OTND00000267,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000014,OTND00000254,OTND00000268,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000014,OTND00000254,OTND00000269,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000014,OTND00000255,OTND00000270,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000014,OTND00000255,OTND00000271,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000014,OTND00000255,OTND00000272,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000014,OTND00000255,OTND00000273,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000014,OTND00000256,OTND00000274,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000014,OTND00000256,OTND00000275,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000014,OTND00000256,OTND00000276,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000014,OTND00000256,OTND00000277,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000014,OTND00000257,OTND00000274,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000014,OTND00000257,OTND00000275,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000014,OTND00000257,OTND00000276,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000014,OTND00000257,OTND00000277,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000014,OTND00000258,OTND00000278,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000014,OTND00000258,OTND00000279,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000014,OTND00000258,OTND00000280,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000014,OTND00000258,OTND00000281,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000015,OTND00000284,OTND00000292,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000015,OTND00000284,OTND00000293,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000015,OTND00000284,OTND00000294,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000015,OTND00000285,OTND00000295,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000015,OTND00000285,OTND00000296,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000015,OTND00000285,OTND00000297,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000015,OTND00000285,OTND00000298,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000015,OTND00000286,OTND00000299,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000015,OTND00000286,OTND00000300,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000015,OTND00000286,OTND00000301,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000015,OTND00000286,OTND00000302,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000015,OTND00000288,OTND00000305,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000015,OTND00000288,OTND00000306,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000015,OTND00000288,OTND00000307,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000015,OTND00000288,OTND00000308,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000016,OTND00000314,OTND00000324,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000016,OTND00000314,OTND00000325,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000016,OTND00000314,OTND00000326,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000016,OTND00000315,OTND00000327,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000016,OTND00000315,OTND00000328,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000016,OTND00000315,OTND00000329,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000016,OTND00000315,OTND00000330,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000016,OTND00000316,OTND00000331,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000016,OTND00000316,OTND00000332,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000016,OTND00000316,OTND00000333,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000016,OTND00000316,OTND00000334,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000016,OTND00000317,OTND00000335,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000016,OTND00000317,OTND00000336,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000016,OTND00000317,OTND00000337,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000016,OTND00000317,OTND00000338,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000016,OTND00000318,OTND00000335,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000016,OTND00000318,OTND00000336,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000016,OTND00000318,OTND00000337,hierarchy,2026-05-26 19:41:04,,True,admin
OTPD000016,OTND00000318,OTND00000338,hierarchy,2026-05-26 19:41:04,,True,admin
