person_id,jec_year,is_current,responsibility_name,start_date,end_date,youth_group_id,scd_active_from,scd_active_to,scd_currently_active_flag,scd_changed_by_user
2,,False,,,,YG015,2025-01-31 11:12:25,,True,admin
3,2025,False,مسؤول براعم,,,YG023,2025-01-31 11:12:36,,True,admin
4,2025,False,مسؤول إعدادي,,,YG022,2025-01-31 11:12:38,,True,admin
6,2025,False,,,,YG027,2025-01-31 11:12:42,,True,admin
7,2025,False,مسؤول اللجنة الإعلاميّة,,,YG023,2025-01-31 11:12:46,,True,admin
8,2025,False,المسؤول العام,,,YG005,2025-01-31 11:12:47,,True,admin
8,2025,False,مسؤول فئتيّ الجامعيّة والعاملة,,,YG005,2025-01-31 11:12:47,,True,admin
9,,False,,,,YG012,2025-01-31 11:12:50,,True,admin
12,2025,False,مسؤول براعم,,,YG019,2025-01-31 11:12:54,,True,admin
13,,False,,,,YG023,2025-01-31 11:13:00,,True,admin
14,,False,,,,YG012,2025-01-31 11:13:00,,True,admin
22,2025,False,,,,YG012,2025-01-31 11:13:09,,True,admin
23,2025,False,مسؤول براعم,,,YG003,2025-01-31 11:13:09,,True,admin
23,,False,,,,YG003,2025-01-31 11:13:09,,True,admin
24,2025,False,مسؤول فئتيّ الجامعيّة والعاملة,,,YG004,2025-01-31 11:13:12,,True,admin
27,2025,False,,,,YG016,2025-01-31 11:13:13,,True,admin
30,,False,,,,YG015,2025-01-31 11:13:18,,True,admin
32,2025,False,,,,YG003,2025-01-31 11:13:19,,True,admin
33,,False,,,,YG019,2025-01-31 11:13:20,,True,admin
40,2025,False,مسؤول فئة الإعدادي,,,YG007,2025-01-31 11:13:25,,True,admin
44,,False,مسؤول براعم,,,YG016,2025-01-31 11:13:29,,True,admin
47,2025,False,مجلس الإعدادي,,,YG002,2025-01-31 11:13:32,,True,admin
48,2025,False,,,,YG029,2025-01-31 11:13:33,,True,admin
49,2025,False,مسؤول براعم,,,YG016,2025-01-31 11:13:35,,True,admin
50,2025,False,مجلس البراعم,,,YG006,2025-01-31 11:13:36,,True,admin
51,2025,False,مسؤول فئة البراعم,,,YG010,2025-01-31 11:13:36,,True,admin
52,2025,False,مسؤول لجنة الخدمة,,,YG009,2025-01-31 11:13:40,,True,admin
52,2025,False,مجلس البراعم,,,YG009,2025-01-31 11:13:40,,True,admin
53,2025,False,مجلس البراعم,,,YG003,2025-01-31 11:13:41,,True,admin
54,,False,,,,YG007,2025-01-31 11:13:42,,True,admin
55,2025,False,مجلس الثانوي,,,YG009,2025-01-31 11:13:42,,True,admin
57,,False,أمين الصندوق,,,YG010,2025-01-31 11:13:45,,True,admin
58,2025,False,مسؤول فئة البراعم,,,YG027,2025-01-31 11:13:45,,True,admin
61,2025,False,,,,YG027,2025-01-31 11:13:46,,True,admin
62,2025,False,مسؤول فئة الإعدادي,,,YG016,2025-01-31 11:13:48,,True,admin
64,2025,False,مسؤول فئتيّ الإعدادي والثانوي,,,YG020,2025-01-31 11:13:49,,True,admin
65,2025,False,,,,YG009,2025-01-31 11:13:49,,True,admin
68,,False,,,,YG010,2025-01-31 11:13:52,,True,admin
69,2025,False,مجلس البراعم,,,YG022,2025-01-31 11:13:53,,True,admin
70,2025,False,,,,YG022,2025-01-31 11:13:55,,True,admin
72,2025,False,,,,YG016,2025-01-31 11:14:00,,True,admin
74,2025,False,,,,YG016,2025-01-31 11:14:02,,True,admin
79,2025,False,أمين السر,,,YG010,2025-01-31 11:14:11,,True,admin
79,2025,False,مسؤول لجنة الخدمة,,,YG010,2025-01-31 11:14:11,,True,admin
83,2025,False,مسؤول براعم,,,YG016,2025-01-31 11:14:15,,True,admin
88,2025,False,مسؤول فئة الثانوي,,,YG007,2025-01-31 11:14:19,,True,admin
89,2025,False,,,,YG019,2025-01-31 11:14:22,,True,admin
89,,False,,,,YG019,2025-01-31 11:14:22,,True,admin
95,2025,False,مسؤول فئة البراعم,,,YG006,2025-01-31 11:14:27,,True,admin
95,,False,مسؤول فئة البراعم,,,YG006,2025-01-31 11:14:27,,True,admin
96,2025,False,,,,YG007,2025-01-31 11:14:27,,True,admin
99,2025,False,مسؤول فئة الإعدادي,,,YG012,2025-01-31 11:14:29,,True,admin
100,2025,False,مجلس البراعم,,,YG007,2025-01-31 11:14:30,,True,admin
108,,False,مسؤول براعم,,,YG016,2025-01-31 11:14:38,,True,admin
109,2025,False,أمين الصندوق,,,YG003,2025-01-31 11:14:39,,True,admin
109,2025,False,لجنة الخدمة,,,YG003,2025-01-31 11:14:39,,True,admin
111,,False,مسؤول براعم,,,YG010,2025-01-31 11:14:40,,True,admin
114,2025,False,,,,YG027,2025-01-31 11:14:41,,True,admin
115,,False,مجلس البراعم,,,YG003,2025-01-31 11:14:42,,True,admin
116,,False,,,,YG012,2025-01-31 11:14:42,,True,admin
117,2025,False,,,,YG019,2025-01-31 11:14:44,,True,admin
118,2025,False,,,,YG013,2025-01-31 11:14:45,,True,admin
118,,False,,,,YG013,2025-01-31 11:14:45,,True,admin
119,2025,False,لجنة المساندة العامة,,,YG002,2025-01-31 11:14:45,,True,admin
120,2025,False,مسؤول لجنة الخدمة,,,YG016,2025-01-31 11:14:45,,True,admin
122,2025,False,,,,YG012,2025-01-31 11:14:45,,True,admin
123,2025,False,مسؤول براعم,,,YG026,2025-01-31 11:14:47,,True,admin
126,,False,مسؤول براعم,,,YG016,2025-01-31 11:14:47,,True,admin
127,2025,False,نائب المسؤول العام,,,YG006,2025-01-31 11:14:50,,True,admin
129,2025,False,مسؤول اللجنة الإعلاميّة,,,YG016,2025-01-31 11:14:51,,True,admin
130,2025,False,,,,YG003,2025-01-31 11:14:51,,True,admin
130,,False,,,,YG003,2025-01-31 11:14:51,,True,admin
132,2025,False,,,,YG007,2025-01-31 11:14:53,,True,admin
134,2025,False,مسؤول ثانوي,,,YG003,2025-01-31 11:14:54,,True,admin
135,2025,False,مساعد مسؤول,,,YG009,2025-01-31 11:14:54,,True,admin
136,2025,False,مجلس الإعدادي,,,YG022,2025-01-31 11:14:57,,True,admin
142,2025,False,,,,YG010,2025-01-31 11:14:59,,True,admin
144,2025,False,مسؤول اللجنة الإعلاميّة,,,YG010,2025-01-31 11:15:00,,True,admin
144,,False,مسؤول براعم,,,YG010,2025-01-31 11:15:00,,True,admin
146,,False,,,,YG012,2025-01-31 11:15:02,,True,admin
150,2025,False,,,,YG003,2025-01-31 11:15:07,,True,admin
152,,False,مسؤول براعم,,,YG007,2025-01-31 11:15:07,,True,admin
155,2025,False,مسؤول اللجنة الإعلاميّة,,,YG015,2025-01-31 11:15:12,,True,admin
158,2025,False,مجلس البراعم,,,YG007,2025-01-31 11:15:16,,True,admin
158,2025,False,مسؤول فئة الإعدادي,,,YG007,2025-01-31 11:15:16,,True,admin
160,2025,False,مسؤول فئة البراعم,,,YG022,2025-01-31 11:15:17,,True,admin
166,2025,False,,,,YG013,2025-01-31 11:15:27,,True,admin
168,,False,مسؤول فئة البراعم,,,YG016,2025-01-31 11:15:28,,True,admin
170,2025,False,,,,YG011,2025-01-31 11:15:33,,True,admin
172,2025,False,مسؤول ثانوي,,,YG023,2025-01-31 11:15:33,,True,admin
175,,False,مسؤول براعم,,,YG026,2025-01-31 11:15:34,,True,admin
176,2025,False,مسؤول فئة البراعم,,,YG003,2025-01-31 11:15:36,,True,admin
178,2025,False,مسؤول فئة البراعم,,,YG016,2025-01-31 11:15:38,,True,admin
180,,False,مسؤول براعم,,,YG019,2025-01-31 11:15:39,,True,admin
182,2025,False,,,,YG022,2025-01-31 11:15:41,,True,admin
183,2025,False,مسؤول براعم كبرى,,,YG012,2025-01-31 11:15:41,,True,admin
185,,False,,,,YG007,2025-01-31 11:15:44,,True,admin
188,2025,False,اللجنة الإعلاميّة,,,YG003,2025-01-31 11:15:44,,True,admin
189,,False,مسؤول براعم,,,YG024,2025-01-31 11:15:45,,True,admin
