person_id,hobby_skill,scd_active_from,scd_active_to,scd_currently_active_flag,scd_changed_by_user
2,العزف,2025-01-31 11:12:25,,True,admin
2,الرياضة,2025-01-31 11:12:25,,True,admin
2,التصوير الفوتوغرافي,2025-01-31 11:12:25,,True,admin
2,مهارات التواصل,2025-01-31 11:12:25,,True,admin
2,مهارات إداريّة,2025-01-31 11:12:25,,True,admin
2,مهارات العمل الجماعي,2025-01-31 11:12:25,,True,admin
2,مهارات التخطيط,2025-01-31 11:12:25,,True,admin
3,الغناء,2025-01-31 11:12:36,,True,admin
3,الترتيل,2025-01-31 11:12:36,,True,admin
4,الرسم,2025-01-31 11:12:38,,True,admin
4,أشغال يدويّة,2025-01-31 11:12:38,,True,admin
5,العزف,2025-01-31 11:12:38,,True,admin
6,تصوير فيديو,2025-01-31 11:12:42,,True,admin
7,الرياضة,2025-01-31 11:12:46,,True,admin
7,التصوير الفوتوغرافي,2025-01-31 11:12:46,,True,admin
7,التصميم الجرافيكي,2025-01-31 11:12:46,,True,admin
7,تصوير فيديو,2025-01-31 11:12:46,,True,admin
7,مونتاج فيديو,2025-01-31 11:12:46,,True,admin
7,أجهزة الصوت (صوتيّات ومِكسرات),2025-01-31 11:12:46,,True,admin
7,مهارات إداريّة,2025-01-31 11:12:46,,True,admin
8,تصوير فيديو,2025-01-31 11:12:47,,True,admin
9,التصوير الفوتوغرافي,2025-01-31 11:12:50,,True,admin
10,العزف,2025-01-31 11:12:50,,True,admin
11,أشغال يدويّة,2025-01-31 11:12:54,,True,admin
12,الرسم,2025-01-31 11:12:54,,True,admin
12,القراءة,2025-01-31 11:12:54,,True,admin
13,الرياضة,2025-01-31 11:13:00,,True,admin
13,مهارات التواصل,2025-01-31 11:13:00,,True,admin
13,مهارات العمل الجماعي,2025-01-31 11:13:00,,True,admin
13,تحضير الألعاب,2025-01-31 11:13:00,,True,admin
13,التنظيم لأعمال تطوعيّة,2025-01-31 11:13:00,,True,admin
14,تصوير فيديو,2025-01-31 11:13:00,,True,admin
16,الترتيل,2025-01-31 11:13:02,2026-05-29 16:25:16,False,admin
16,الإخراج (السينمائي/ المسرحي),2025-01-31 11:13:02,2026-05-29 16:25:16,False,admin
16,الرسم,2025-01-31 11:13:02,2026-05-29 16:25:16,False,admin
16,مهارات إداريّة,2025-01-31 11:13:02,2026-05-29 16:25:16,False,admin
16,مهارات العمل الجماعي,2025-01-31 11:13:02,2026-05-29 16:25:16,False,admin
16,مهارات التخطيط,2025-01-31 11:13:02,2026-05-29 16:25:16,False,admin
16,تحضير الألعاب,2025-01-31 11:13:02,2026-05-29 16:25:16,False,admin
16,التنظيم لأعمال تطوعيّة,2025-01-31 11:13:02,2026-05-29 16:25:16,False,admin
16,أشغال يدويّة,2025-01-31 11:13:02,2026-05-29 16:25:16,False,admin
17,مهارات التواصل,2025-01-31 11:13:03,,True,admin
17,مهارات إداريّة,2025-01-31 11:13:03,,True,admin
18,الترتيل,2025-01-31 11:13:03,,True,admin
20,الرياضة,2025-01-31 11:13:06,,True,admin
21,الرياضة,2025-01-31 11:13:09,,True,admin
21,مهارات إداريّة,2025-01-31 11:13:09,,True,admin
21,مهارات العمل الجماعي,2025-01-31 11:13:09,,True,admin
21,مهارات التخطيط,2025-01-31 11:13:09,,True,admin
22,الرياضة,2025-01-31 11:13:09,,True,admin
23,الرياضة,2025-01-31 11:13:09,,True,admin
23,تحضير الألعاب,2025-01-31 11:13:09,,True,admin
23,التنظيم لأعمال تطوعيّة,2025-01-31 11:13:09,,True,admin
23,تأدية حركات التراتيل,2025-01-31 11:13:09,,True,admin
24,مونتاج فيديو,2025-01-31 11:13:12,,True,admin
24,مهارات التواصل,2025-01-31 11:13:12,,True,admin
24,مهارات العمل الجماعي,2025-01-31 11:13:12,,True,admin
24,مهارات التخطيط,2025-01-31 11:13:12,,True,admin
25,التصوير الفوتوغرافي,2025-01-31 11:13:12,2026-05-29 15:05:12,False,admin
25,التصميم الجرافيكي,2025-01-31 11:13:12,2026-05-29 15:05:12,False,admin
25,التصميم الداخلي/ ديكور,2025-01-31 11:13:12,2026-05-29 15:05:12,False,admin
26,مهارات التخطيط,2025-01-31 11:13:13,,True,admin
27,أشغال يدويّة,2025-01-31 11:13:13,,True,admin
28,الرياضة,2025-01-31 11:13:13,,True,admin
28,الرسم,2025-01-31 11:13:13,,True,admin
28,القراءة,2025-01-31 11:13:13,,True,admin
29,الإخراج (السينمائي/ المسرحي),2025-01-31 11:13:15,,True,admin
29,كتابة نصوص,2025-01-31 11:13:15,,True,admin
29,القراءة,2025-01-31 11:13:15,,True,admin
30,مهارات التواصل,2025-01-31 11:13:18,,True,admin
31,الرياضة,2025-01-31 11:13:18,,True,admin
32,الغناء,2025-01-31 11:13:19,,True,admin
32,التمثيل,2025-01-31 11:13:19,,True,admin
32,مهارات التواصل,2025-01-31 11:13:19,,True,admin
32,مهارات إداريّة,2025-01-31 11:13:19,,True,admin
32,مهارات العمل الجماعي,2025-01-31 11:13:19,,True,admin
32,أجهزة الصوت (صوتيّات ومِكسرات),2025-01-31 11:13:19,,True,admin
32,تأدية حركات التراتيل,2025-01-31 11:13:19,,True,admin
33,التصوير الفوتوغرافي,2025-01-31 11:13:20,,True,admin
33,التصميم الداخلي/ ديكور,2025-01-31 11:13:20,,True,admin
33,القراءة,2025-01-31 11:13:20,,True,admin
33,مهارات التواصل,2025-01-31 11:13:20,,True,admin
33,مهارات إداريّة,2025-01-31 11:13:20,,True,admin
33,مهارات العمل الجماعي,2025-01-31 11:13:20,,True,admin
33,مهارات التخطيط,2025-01-31 11:13:20,,True,admin
33,تحضير الألعاب,2025-01-31 11:13:20,,True,admin
33,التنظيم لأعمال تطوعيّة,2025-01-31 11:13:20,,True,admin
33,أجهزة الصوت (صوتيّات ومِكسرات),2025-01-31 11:13:20,,True,admin
33,تأدية حركات التراتيل,2025-01-31 11:13:20,,True,admin
34,العزف,2025-01-31 11:13:20,,True,admin
34,التصوير الفوتوغرافي,2025-01-31 11:13:20,,True,admin
34,القراءة,2025-01-31 11:13:20,,True,admin
35,الرياضة,2025-01-31 11:13:21,,True,admin
35,مهارات التواصل,2025-01-31 11:13:21,,True,admin
35,مهارات إداريّة,2025-01-31 11:13:21,,True,admin
35,مهارات العمل الجماعي,2025-01-31 11:13:21,,True,admin
35,مهارات التخطيط,2025-01-31 11:13:21,,True,admin
35,تحضير الألعاب,2025-01-31 11:13:21,,True,admin
36,الرياضة,2025-01-31 11:13:22,,True,admin
38,التصميم الجرافيكي,2025-01-31 11:13:24,,True,admin
38,كتابة نصوص,2025-01-31 11:13:24,,True,admin
38,القراءة,2025-01-31 11:13:24,,True,admin
38,مهارات التواصل,2025-01-31 11:13:24,,True,admin
38,مهارات إداريّة,2025-01-31 11:13:24,,True,admin
38,مهارات العمل الجماعي,2025-01-31 11:13:24,,True,admin
39,مهارات إداريّة,2025-01-31 11:13:25,,True,admin
39,مهارات العمل الجماعي,2025-01-31 11:13:25,,True,admin
39,مهارات التخطيط,2025-01-31 11:13:25,,True,admin
39,أجهزة الصوت (صوتيّات ومِكسرات),2025-01-31 11:13:25,,True,admin
40,التمثيل,2025-01-31 11:13:25,,True,admin
40,مهارات التواصل,2025-01-31 11:13:25,,True,admin
40,مهارات العمل الجماعي,2025-01-31 11:13:25,,True,admin
40,مهارات التخطيط,2025-01-31 11:13:25,,True,admin
40,تحضير الألعاب,2025-01-31 11:13:25,,True,admin
41,الرياضة,2025-01-31 11:13:26,,True,admin
41,التصوير الفوتوغرافي,2025-01-31 11:13:26,,True,admin
44,الغناء,2025-01-31 11:13:29,,True,admin
44,الترتيل,2025-01-31 11:13:29,,True,admin
44,التمثيل,2025-01-31 11:13:29,,True,admin
44,مهارات التواصل,2025-01-31 11:13:29,,True,admin
44,مهارات إداريّة,2025-01-31 11:13:29,,True,admin
44,مهارات العمل الجماعي,2025-01-31 11:13:29,,True,admin
44,مهارات التخطيط,2025-01-31 11:13:29,,True,admin
44,التنظيم لأعمال تطوعيّة,2025-01-31 11:13:29,,True,admin
44,تحضير الألعاب,2025-01-31 11:13:29,,True,admin
44,تأدية حركات التراتيل,2025-01-31 11:13:29,,True,admin
45,القراءة,2025-01-31 11:13:29,,True,admin
45,مهارات العمل الجماعي,2025-01-31 11:13:29,,True,admin
45,التكنولوجيا,2025-01-31 11:13:29,,True,admin
46,التصوير الفوتوغرافي,2025-01-31 11:13:32,,True,admin
46,أشغال يدويّة,2025-01-31 11:13:32,,True,admin
47,العزف,2025-01-31 11:13:32,,True,admin
47,الرياضة,2025-01-31 11:13:32,,True,admin
47,القراءة,2025-01-31 11:13:32,,True,admin
48,العزف,2025-01-31 11:13:33,2026-05-29 15:51:58,False,admin
48,القراءة,2025-01-31 11:13:33,2026-05-29 15:51:58,False,admin
49,العزف,2025-01-31 11:13:35,,True,admin
49,الإخراج (السينمائي/ المسرحي),2025-01-31 11:13:35,,True,admin
49,كتابة نصوص,2025-01-31 11:13:35,,True,admin
49,مهارات إداريّة,2025-01-31 11:13:35,,True,admin
49,تحضير الألعاب,2025-01-31 11:13:35,,True,admin
49,التنظيم لأعمال تطوعيّة,2025-01-31 11:13:35,,True,admin
49,الرياضة,2025-01-31 11:13:35,,True,admin
49,مهارات التواصل,2025-01-31 11:13:35,,True,admin
49,مهارات العمل الجماعي,2025-01-31 11:13:35,,True,admin
50,تأدية حركات التراتيل,2025-01-31 11:13:36,,True,admin
51,القراءة,2025-01-31 11:13:36,,True,admin
51,تحضير الألعاب,2025-01-31 11:13:36,,True,admin
52,تصوير فيديو,2025-01-31 11:13:40,,True,admin
52,مونتاج فيديو,2025-01-31 11:13:40,,True,admin
52,مهارات التواصل,2025-01-31 11:13:40,,True,admin
52,مهارات إداريّة,2025-01-31 11:13:40,,True,admin
52,مهارات العمل الجماعي,2025-01-31 11:13:40,,True,admin
52,مهارات التخطيط,2025-01-31 11:13:40,,True,admin
52,تحضير الألعاب,2025-01-31 11:13:40,,True,admin
52,التنظيم لأعمال تطوعيّة,2025-01-31 11:13:40,,True,admin
52,أشغال يدويّة,2025-01-31 11:13:40,,True,admin
53,تحضير الألعاب,2025-01-31 11:13:41,,True,admin
53,تأدية حركات التراتيل,2025-01-31 11:13:41,,True,admin
54,الرياضة,2025-01-31 11:13:42,,True,admin
54,التصوير الفوتوغرافي,2025-01-31 11:13:42,,True,admin
54,التصميم الجرافيكي,2025-01-31 11:13:42,,True,admin
54,التمثيل,2025-01-31 11:13:42,,True,admin
54,تصوير فيديو,2025-01-31 11:13:42,,True,admin
54,مونتاج فيديو,2025-01-31 11:13:42,,True,admin
54,مهارات التواصل,2025-01-31 11:13:42,,True,admin
