motto_id,youth_group_id,scd_active_from,scd_active_to,scd_currently_active_flag,scd_changed_by_user
098b8f68c796,YG001,2026-05-26 07:12:40,,True,admin
098b8f68c796,YG002,2026-05-26 07:12:40,,True,admin
098b8f68c796,YG003,2026-05-26 07:12:40,,True,admin
098b8f68c796,YG004,2026-05-26 07:12:40,,True,admin
098b8f68c796,YG005,2026-05-26 07:12:40,,True,admin
098b8f68c796,YG006,2026-05-26 07:12:40,,True,admin
098b8f68c796,YG007,2026-05-26 07:12:40,,True,admin
098b8f68c796,YG008,2026-05-26 07:12:40,,True,admin
098b8f68c796,YG009,2026-05-26 07:12:40,,True,admin
098b8f68c796,YG010,2026-05-26 07:12:40,,True,admin
098b8f68c796,YG011,2026-05-26 07:12:40,,True,admin
098b8f68c796,YG012,2026-05-26 07:12:40,,True,admin
098b8f68c796,YG013,2026-05-26 07:12:40,,True,admin
098b8f68c796,YG014,2026-05-26 07:12:40,,True,admin
098b8f68c796,YG015,2026-05-26 07:12:40,,True,admin
098b8f68c796,YG016,2026-05-26 07:12:40,,True,admin
098b8f68c796,YG017,2026-05-26 07:12:40,,True,admin
098b8f68c796,YG018,2026-05-26 07:12:40,,True,admin
098b8f68c796,YG019,2026-05-26 07:12:40,,True,admin
098b8f68c796,YG020,2026-05-26 07:12:40,,True,admin
098b8f68c796,YG021,2026-05-26 07:12:40,,True,admin
098b8f68c796,YG022,2026-05-26 07:12:40,,True,admin
098b8f68c796,YG023,2026-05-26 07:12:40,,True,admin
098b8f68c796,YG024,2026-05-26 07:12:40,,True,admin
098b8f68c796,YG025,2026-05-26 07:12:40,,True,admin
098b8f68c796,YG026,2026-05-26 07:12:40,,True,admin
098b8f68c796,YG027,2026-05-26 07:12:40,,True,admin
098b8f68c796,YG028,2026-05-26 07:12:40,,True,admin
098b8f68c796,YG029,2026-05-26 07:12:40,,True,admin
098b8f68c796,YG030,2026-05-26 07:12:40,,True,admin
